subjID,SPM_image,SPM_file_t,SPM_file_c,FS_image,FS_file_lh,FS_file_rh,LH_SN_spcorr,RH_SN_spcorr,LH_SN_volume,RH_SN_volume,LH_SN_ES,RH_SN_ES,Lateralization_volume,Lateralization_ES,Lateralization
sub1,SPM_images/sub1.png,SPM_files/sub1_spmT.nii,SPM_files/sub1_con.nii,FS_images/sub1.png,FS_files/sub1/lh_sig.nii.gz,FS_files/sub1/rh_sig.nii.gz,0.9228185,0.6326375,1897,473,1.053339833,0.3054505,0.600843882,0.747889333,left-lat
sub2,SPM_images/sub2.png,SPM_files/sub2_spmT.nii,SPM_files/sub2_con.nii,FS_images/sub2.png,FS_files/sub2/lh_sig.nii.gz,FS_files/sub2/rh_sig.nii.gz,0.7148015,-0.029296,1500,134,0.769571833,0.11635,0.835985312,0.653221833,left-lat
sub3,SPM_images/sub3.png,SPM_files/sub3_spmT.nii,SPM_files/sub3_con.nii,FS_images/sub3.png,FS_files/sub3/lh_sig.nii.gz,FS_files/sub3/rh_sig.nii.gz,0.424333167,0.043786833,1209,329,0.523094,0.114882,0.572171651,0.408212,left-lat
sub4,SPM_images/sub4.png,SPM_files/sub4_spmT.nii,SPM_files/sub4_con.nii,FS_images/sub4.png,FS_files/sub4/lh_sig.nii.gz,FS_files/sub4/rh_sig.nii.gz,1.232937167,0.928865833,2748,2560,1.650702667,1.040484333,0.035418237,0.610218333,left-lat
sub5,SPM_images/sub5.png,SPM_files/sub5_spmT.nii,SPM_files/sub5_con.nii,FS_images/sub5.png,FS_files/sub5/lh_sig.nii.gz,FS_files/sub5/rh_sig.nii.gz,0.889079667,0.416238667,2209,1232,1.251358667,0.532284167,0.28392909,0.7190745,left-lat
sub6,SPM_images/sub6.png,SPM_files/sub6_spmT.nii,SPM_files/sub6_con.nii,FS_images/sub6.png,FS_files/sub6/lh_sig.nii.gz,FS_files/sub6/rh_sig.nii.gz,0.794985833,0.2082575,2903,612,1.237171833,0.360504,0.651778094,0.876667833,left-lat
sub7,SPM_images/sub7.png,SPM_files/sub7_spmT.nii,SPM_files/sub7_con.nii,FS_images/sub7.png,FS_files/sub7/lh_sig.nii.gz,FS_files/sub7/rh_sig.nii.gz,1.101305167,0.386186333,547,14,1.1226005,-0.394619833,0.950089127,1.517220333,left-lat
sub8,SPM_images/sub8.png,SPM_files/sub8_spmT.nii,SPM_files/sub8_con.nii,FS_images/sub8.png,FS_files/sub8/lh_sig.nii.gz,FS_files/sub8/rh_sig.nii.gz,1.165679167,1.009294333,2428,2097,0.994348833,0.753295,0.073149171,0.241053833,left-lat
sub9,SPM_images/sub9.png,SPM_files/sub9_spmT.nii,SPM_files/sub9_con.nii,FS_images/sub9.png,FS_files/sub9/lh_sig.nii.gz,FS_files/sub9/rh_sig.nii.gz,0.843809667,0.305886667,759,79,0.700572333,0.171327833,0.811455847,0.5292445,left-lat
sub10,SPM_images/sub10.png,SPM_files/sub10_spmT.nii,SPM_files/sub10_con.nii,FS_images/sub10.png,FS_files/sub10/lh_sig.nii.gz,FS_files/sub10/rh_sig.nii.gz,0.4855035,0.207080833,644,49,0.452951833,-0.019523667,0.858585859,0.4724755,left-lat
sub11,SPM_images/sub11.png,SPM_files/sub11_spmT.nii,SPM_files/sub11_con.nii,FS_images/sub11.png,FS_files/sub11/lh_sig.nii.gz,FS_files/sub11/rh_sig.nii.gz,1.363971833,0.990011667,2799,1231,1.15772,0.639851167,0.389081886,0.517868833,left-lat
sub12,SPM_images/sub12.png,SPM_files/sub12_spmT.nii,SPM_files/sub12_con.nii,FS_images/sub12.png,FS_files/sub12/lh_sig.nii.gz,FS_files/sub12/rh_sig.nii.gz,0.836898,0.453785,2038,696,0.847711333,0.306025167,0.490855889,0.541686167,left-lat
sub13,SPM_images/sub13.png,SPM_files/sub13_spmT.nii,SPM_files/sub13_con.nii,FS_images/sub13.png,FS_files/sub13/lh_sig.nii.gz,FS_files/sub13/rh_sig.nii.gz,1.071357,0.370723833,1890,153,1.084175333,0.181375833,0.850220264,0.9027995,left-lat
